date,store,menu_item,revenue,qty,customer_segment
1/15/2024,Legit Cafe Central,Nasi Goreng Special,85000,5,Regular
1/15/2024,Legit Cafe Central,Es Kopi Susu,45000,9,Regular
1/15/2024,Legit Bistro Plaza,Beef Rendang,120000,4,Premium
1/15/2024,Legit Bistro Plaza,Thai Tea,35000,7,Regular
1/15/2024,Legit Express Mall,Ayam Geprek,65000,8,Budget
1/16/2024,Legit Cafe Central,Mie Ayam Spesial,72000,6,Regular
1/16/2024,Legit Cafe Central,Jus Alpukat,38000,5,Regular
1/16/2024,Legit Bistro Plaza,Gado-gado Premium,95000,5,Premium
1/16/2024,Legit Express Mall,Bakso Malang,48000,12,Budget
1/17/2024,Legit Cafe Central,Sate Ayam,90000,6,Regular
1/17/2024,Legit Bistro Plaza,Salmon Teriyaki,185000,3,Premium
1/17/2024,Legit Express Mall,Nasi Gudeg,42000,10,Budget
1/18/2024,Legit Cafe Central,Ayam Bakar,78000,4,Regular
1/18/2024,Legit Bistro Plaza,Pasta Carbonara,145000,4,Premium
1/18/2024,Legit Express Mall,Es Campur,25000,15,Budget
1/19/2024,Legit Cafe Central,Rawon Daging,88000,5,Regular
1/19/2024,Legit Bistro Plaza,Lobster Thermidor,295000,2,Premium
1/19/2024,Legit Express Mall,Pecel Lele,35000,14,Budget
1/20/2024,Legit Cafe Central,Soto Betawi,68000,8,Regular
1/20/2024,Legit Bistro Plaza,Wagyu Steak,385000,2,Premium
1/20/2024,Legit Express Mall,Martabak Manis,55000,6,Budget
1/21/2024,Legit Cafe Central,Gudeg Jogja,58000,7,Regular
1/21/2024,Legit Bistro Plaza,Duck Confit,225000,3,Premium
1/21/2024,Legit Express Mall,Mie Instan Upgrade,28000,18,Budget
1/22/2024,Legit Cafe Central,Bebek Goreng,98000,4,Regular
1/22/2024,Legit Bistro Plaza,Truffle Pasta,195000,3,Premium
1/22/2024,Legit Express Mall,Nasi Padang,45000,11,Budget
1/23/2024,Legit Cafe Central,Ikan Bakar,105000,5,Regular
1/23/2024,Legit Bistro Plaza,Foie Gras,325000,2,Premium
1/23/2024,Legit Express Mall,Bakso Urat,38000,13,Budget
1/24/2024,Legit Cafe Central,Ayam Kremes,72000,6,Regular
1/24/2024,Legit Bistro Plaza,Lamb Chop,245000,3,Premium
